FAO_code,Latin,English,Spanish,French
aba,Albulichthys albuloides,,,
abb,Abbottina rivularis,Chinese false gudgeon,,
abc,Amblypharyngodon microlepis,,,
abd,Alburnus albidus,,,
abe,Aborichthys elongatus,,,
abf,Haliotis rufescens,Red abalone,Abulón colorado,Ormeau rouge
abg,Haliotis gigantea,Giant abalone,Abulón gigante,Ormeau géant
abh,Astroblepus chotae,,,
abi,Alburnoides bipunctatus,Schneider,,
abj,Haliotis discus,Japanese abalone,Abulón japonés,Ormeau japonais
abk,Blicca bjoerkna,White bream,,
abl,Amblypharyngodon melettinus,Attentive carplet,,
abm,Haliotis diversicolor,Small abalone,,
abn,Acanthobunocephalus nicoi,,,
abo,Amblypharyngodon mola,,,
abp,Haliotis midae,Perlemoen abalone,Oreja de mar,Ormeau de Mida
abq,Abramites eques,,,
abr,Haliotis rubra,Blacklip abalone,Oreja de mar de labios negros,Ormeau à lèvres noires
abs,Penaeus aztecus,Northern brown shrimp,Camarón café norteño,Crevette royale grise
abt,Amblyrhynchichthys truncatus,,,
abu,Abudefduf saxatilis,Sergeant-major,,
abv,Alabes parvulus,Pygmy shore-eel,,
abw,Ablabys binotatus,Redskinfish,,
abx,Haliotis spp,Abalones nei,Orejas de mar nep,Ormeaux
aby,Amblyopsis rosae,Ozark cavefish,,
abz,Ammodytes tobianus,Small sandeel,Aguacioso,Équille
aca,Acromycter nezumi,,,
acb,Scapharca broughtonii,Inflated ark,,
acc,Gymnocephalus cernuus,Ruffe,Acerina,Grémille
acd,Chlopsis dentatus,Mottled false moray,,
ace,Paruroconger drachi,,,
acf,Acestrorhynchus falcatus,,,
acg,Acanthogobius ommaturus,,,
ach,Salvelinus alpinus,Arctic char,Trucha alpina,Omble-chevalier
aci,Acnodon normani,,,
acj,Japonoconger africanus,,,
ack,Kaupichthys hyoproroides,False moray,,
acl,Heteroconger longissimus,,,
acm,Macrocephenchelys brachialis,,,
acn,Aculeola nigra,Hooktooth dogfish,Tollo negro de cachos,Squale noir
aco,Coloconger raniceps,,,
acp,Chilorhinus platyrhynchus,Flatnose xenocongrid eel,,
acq,Astrocottus leprops,,,
acr,Acropomatidae,"Glow-bellies, splitfins nei",Farolitos nep,"Macondes, etc."
acs,Heteroconger hassi,Spotted garden-eel,,
act,Paraconger caudilimbatus,Margintail conger,,
acu,Lumiconger arafura,,,
acv,Acanthocepola abbreviata,Bandfish,,
acw,Amblycirrhitus earnshawi,,,
acx,Acanthaxius caespitosa,Deep-water mud lobster,Langosta peluda de profundidad,Langouste poilue de profondeur
acy,Parabathymyrus macrophthalmus,,,
acz,Cambaridae,American crayfishes nei,Cangrejos río americanos nep,Écrevisses américaines
ada,Aspidoras albater,,,
adb,Adontosternarchus balaenops,,,
adc,Acrochordonichthys chamaeleon,,,
add,Derichthys serpentinus,Narrownecked oceanic eel,,
ade,Allotoca dugesii,Opal allotoca,,
adf,Aspredinichthys filamentosus,Sevenbarbed banjo,,
adg,Anadoras grypus,,,
adh,Amblyglyphidodon aureus,Golden damselfish,,
adi,Aplocheilus dayi,Ceylon killifish,,
adj,Pardachirus pavoninus,Peacock sole,,
adk,Artedidraco skottsbergi,,,
adl,Antipodocottus elegans,,,
adm,Autanadoras milesi,,,
adn,Nessorhamphus ingolfianus,Duckbill oceanic eel,,
ado,Artediellus dydymovi,,,
adp,Austrofundulus dolichopterus,Saberfin killie,,
adq,Antipathes dichotoma,Black coral,,
adr,Aspredo aspredo,Banjo,,
ads,Arnoldichthys spilopterus,Niger tetra,,
adt,Pardachirus marmoratus,Finless sole,,
adu,Allodontichthys hubbsi,Whitepatched splitfin,,
adv,Apuredoras rivasi,,,
adw,Artedius corallinus,Coralline sculpin,,
adx,Adinia xenica,Diamond killifish,,
ady,Aspredo cotylephorus,Banded banjo,,
adz,Artedidraco glareobarbatus,,,
aea,Alestes lateralis,Stripped robber,,
aeb,Alestes baremoze,,,
aec,Astronesthes cyclophotus,,,
aed,Alestes dentex,,,
aee,Einara edentula,Toothless smooth-head,,
aef,Apteronotus albifrons,Black ghost,,
aeg,Astronesthes gemmifer,,,
aeh,Alestopetersius brichardi,,,
aei,Auchenipterus nigripinnis,,,
aej,Astronesthes indicus,,,
aek,Herwigia kreffti,Krefft's smooth-head,,
ael,Leptoderma lubricum,,,
aem,Aethotaxis mitopteryx,Longfin icedevil,Diablillo de hebra,Calandre fil
aen,Ericara niger,,,
aeo,Astronesthes leucopogon,,,
aep,Astronesthes neopogon,,,
aer,Aequidens rivulatus,Green terror,Vieja azul,
aes,Pandalus montagui,Aesop shrimp,Camarón esópico,Crevette ésope
aet,Aetapcus maculatus,Warty prowfish,,
aeu,Auchenoceros punctatus,Ahuru,,
aev,Asemichthys taylori,Spinynose sculpin,,
aew,Atherinosoma wallacei,,,
aex,Aethiomastacembelus sexdecimspinus,,,
aey,Apteronotus leptorhynchus,,,
aez,Abyssocottus elochini,,,
afa,Forbesichthys agassizi,Spring cavefish,,
afb,Aphyoplatys duboisi,,,
afc,Atherinopsis californiensis,Jack silverside,,
afd,Aphanius dispar,,,
afe,Aplocheilichthys fuelleborni,,,
aff,Atherion africanus,Pricklenose silverside,,
afg,Asthenomacrurus fragilis,Fragile grenadier,,
afh,Aphyosemion ahli,,,
afi,Conocara fiolenti,Fiolenti's smooth-head,,
afj,Aphanius iberus,Spanish toothcarp,,
afk,Apsilus fuscus,African forktail snapper,Pargo tijera,Vivaneau fourche d'Afrique
afl,Antennatus flagellatus,,,
afm,Adamas formosus,Starhead killi,,
afn,Antennarius nummifer,Spotfin frogfish,,
afo,Aspidophoroides bartoni,Aleutian alligatorfish,,
afp,Amphiprion akallopisos,Skunk clownfish,,
afq,Paphies australis,Pipi wedge clam,,
afr,Alloophorus robustus,Bulldog goodeid,,
afs,Aphanius fasciatus,,,
aft,Agonus cataphractus,Hooknose,,
afu,Alfaro cultratus,,,
afv,Aulorhynchus flavidus,Tube-snout,,
afw,Assessor flavissimus,Yellow devilfish,,
afx,Amphibolis antarctica,Sea nymph,,
afy,Amphiprion akindynos,Barrier reef anemonefish,,
afz,Afronandus sheljuzhkoi,Fourspine leaffish,,
aga,Guentherus altivela,Jellynose,,
agb,Antipathes grandis,"Umimatsu, pine coral",,
agc,Amblygaster clupeoides,Bleeker smoothbelly sardinella,Sardinela vientre liso,Sardinelle coulat
agd,Gymnothorax maderensis,Sharktooth moray,,
age,Agosia chrysogaster,Longfin dace,,
agf,Agmus lyriformis,Gnarled catfish,,
agg,Gymnothorax moringa,Spotted moray,,
agh,Gymnotus pantherinus,,,
agi,Gymnothorax polygonius,,,
agj,Argobuccinum olearium,Oil-vessel triton,,Ranelle geante
agk,Gymnothorax unicolor,Brown moray,Morena negra,Murène brune
agl,Amblygaster leiogaster,Smoothbelly sardinella,Sardinela daniva,Sardinelle daniva
agm,Alligator mississippiensis,American alligator,Caimán americano,Alligator américain
agn,Squatina squatina,Angelshark,Angelote,Ange de mer commun
ago,Gymnothorax pseudothyrsoideus,Highfin moray,,
agp,Agrostichthys parkeri,Streamer fish,,
agq,Aulostomus strigosus,,,
agr,Aplodinotus grunniens,Freshwater drum,Roncador de agua dulce,Malachigan
ags,Amblygaster sirm,Spotted sardinella,Sardinela manchada,Sardinelle tachetée
agt,Gymnothorax meleagris,Turkey moray,,
agu,Gymnothorax rueppelliae,Banded moray,,
agv,Altolamprologus calvus,,,
agw,Anoplogaster cornuta,Common fangtooth,,
agx,Gymnothorax mordax,California moray,,
agy,Gymnothorax porphyreus,,,
agz,Argyrocottus zanderi,,,
aha,Acanthorhodeus asmussii,Russian bitterling,,
ahb,Atopochilus chabanaudi,,,
ahc,Anchovia macrolepidota,Bigscale anchovy,Anchoa plateada,Anchois à grandes écailles
ahd,Abythites lepidogenys,,,
ahe,Archaulus biseriatus,Scaled sculpin,,
ahf,Aphanotorulus frankei,,,
ahg,Psephurus gladius,Chinese swordfish,,
ahh,Atherina hepsetus,Mediterranean sand smelt,,
ahi,Acanthocleithron chapini,,,
ahj,Amaralia hypsiurus,,,
ahk,Alertichthys blacki,Alert pigfish,,
ahl,Acanthalburnus microlepis,Blackbrow bleak,,
ahm,Huso dauricus,Kaluga,,
ahn,Anthias anthias,Swallowtail seaperch,,
aho,Alcichthys alcicornis,,,
ahp,Panturichthys isognathus,,,
ahq,Cantheschenia grandisquamis,Large-scaled leatherjacket,,
ahr,Astronesthes niger,,,
ahs,Acanthobrama lissneri,,,
aht,Acanthobrama terraesanctae,Kinneret bleak,,
ahu,Anchovia clupeoides,Zabaleta anchovy,Anchoa bocona,Anchois hachude
ahv,Ancharius brevibarbis,,,
ahw,Aristaeomorpha woodmasoni,Indian red shrimp,Gamba roja india,Gambon indien
ahx,Allocyttus spp,,,
ahy,Pythonichthys sanguineus,,,
ahz,Apolemichthys guezei,Reunion angelfish,,
aia,Apistus carinatus,Ocellated waspfish,,
aib,Ambassidae,Glassfishes,,
aic,Ailia coila,,,
aid,Ijimaia dofleini,,,
aie,Alticorpus macrocleithrum,,,
aif,Acanthoclinus fuscus,,,
aig,Astacopsis gouldi,Giant tasmanian crayfish,,
aih,Ancistrus cirrhosus,,,
aii,Amphilophus citrinellus,Midas cichlid,,
aij,Alticus kirkii,Kirk's blenny,,
aik,Acarichthys heckelii,Threadfin acara,,
ail,Acanthochromis polyacanthus,Spiny chromis,,
aim,Austrophycis marginata,Dwarf codling,,
ain,Acentrogobius caninus,Tropical sand goby,,
aio,Acantholiparis opercularis,Spiny snailfish,,
aip,Albatrossia pectoralis,Giant grenadier,,
aiq,Astacopsis franklinii,,,
air,Anisarchus macrops,,,
ais,Atrosalarias fuscus,,,
ait,Apopterygion alta,Tasselled triplefin,,
aiu,Apistops caloundra,Short-armed waspfish,,
aiv,Alloblennius parvus,Dwarf blenny,,
aiw,Acanthina monodon,,,
aix,Aidablennius sphynx,,,
aiy,Ahliesaurus berryi,,,
aiz,Haliotis kamtschatkana,Pinto abalone,,
aja,Aristeus alcocki,Arabian red shrimp,Gamba roja arábiga,Gambon d'Arabie
ajb,Bajacalifornia burragei,,,
ajc,Alaria esculenta,Babberlocks,,Alimentaire varech
ajd,Agonomalus jordani,,,
aje,Artemia persimilis,,,
ajf,Haliotis spadicea,,,
ajg,Anthoptilum spp,,,
ajh,Anthozoa,,,
aji,Artemiidae,,,
ajj,Artemia sinica,,,
ajk,Astrotia stokesii,Stokes' sea snake,,
ajl,Cabillus lacertops,,,
ajm,Artemia spp,Brine shrimps nei,Artemias nep,Crevettes de salines
ajn,Aristeus semidentatus,Smooth red shrimp,Gamba roja lisa,Gambon lisse
ajo,Alcithoe larochei,Volute,,
ajp,Aulichthys japonicus,,,
ajq,Aurelia aurita,Common jellyfish,Agua mala,Méduse commune
ajr,Astrea rugosa,Rough turbo,Peonza rugosa,Turbo scabre
ajs,Abalistes stellaris,Starry triggerfish,Pejepuerco estrellado,Baliste étoilé
ajt,Artemia tunisiana,,,
aju,Artemia urmiana,,,
ajv,Aeneator recens,,,
ajw,Agonostomus monticola,Mountain mullet,Lisa de río,Mulet de fleuve
ajx,Acutiserolis spp,Spiny serolid isopod,,
ajy,Aega monophthalma,Fish biter,,
ajz,Alcyonacea,Soft corals,Corales muelles,Corails mous
aka,Anomalops katoptron,Splitfin flashlightfish,,
akb,Acanthopagrus butcheri,,,
akc,Astacus pachypus,,,
akd,Acentrogobius dayi,Day's goby,,
ake,Anisochromis kenyae,,,
akf,Akysis fuscus,,,
akg,Achoerodus gouldii,Western blue groper,,
akh,Acropoma hanedai,,,
aki,Archoplites interruptus,Sacramento perch,,
akj,Acanthocardia echinata,European prickly cockle,Carneiro,Bucarde rouge
akk,Acanthocardia aculeata,Spiny cockle,Marolo,Bucarde aiguillonnée
akl,Acantholabrus palloni,Scale-rayed wrasse,,
akm,Acantholumpenus mackayi,Pighead prickleback,,
akn,Akarotaxis nudiceps,,,
ako,Bellocia koefoedi,Koefoed's smooth-head,,
akp,Acantharchus pomotis,Mud sunfish,,
akq,Arca navicularis,Indo-Pacific ark,,Arche navicule
akr,Ambloplites rupestris,Rock bass,,
aks,Acetes japonicus,Akiami paste shrimp,Camaroncillo akiami,Chevrette akiami
akt,Anomalochromis thomasi,,,
aku,Acanthopagrus australis,Surf bream,,
akv,Askoldia variegata,,,
akw,Aphrodita aculeata,Sea mouse,,Aphrodite
akx,Paphies spp,,,
aky,Adrianichthys kruyti,Duckbilled buntingi,,
akz,Aiakas zinorum,,,
ala,Alectis alexandrinus,Alexandria pompano,Jurel de Alejandría,Cordonnier bossu
alb,Thunnus alalunga,Albacore,Atún blanco,Germon
alc,Alepocephalus bairdii,Baird's slickhead,Talismán celindra,Alépocéphale de Baird
ald,Apletodon dentatus,Small-headed clingfish,,
ale,Alosa pseudoharengus,Alewife,Pinchagua,Gaspareau
alf,Beryx spp,Alfonsinos nei,Alfonsinos nep,Béryx
alg,Allenichthys glauerti,Glauert's anglerfish,,
alh,Alepocephalus spp,Slickheads nei,Talismanes,
ali,Alepisaurus spp,Lancetfishes nei,,
alj,Tragulichthys jaculiferus,Longspine burrfish,,
alk,Theragra chalcogramma,Alaska pollock(=Walleye poll.),Colín de Alaska,Lieu de l'Alaska
all,Allocyttus verrucosus,Warty dory,,
alm,Aluterus monoceros,Unicorn leatherjacket filefish,,
aln,Aluterus scriptus,Scribbled leatherjac. filefish,Lija trompa,Bourse écriture
alo,Alepisaurus brevirostris,Short snouted lancetfish,,
alp,Pleuronectes quadrituberculat.,Alaska plaice,Solla de Alaska,Plie de l'Alaska
alq,Atherinella argentea,Moon silverside,,
alr,Alburnus alburnus,Bleak,Alburno,Ablette
als,Carcharhinus albimarginatus,Silvertip shark,Tiburón de puntas blancas,Requin pointe blanche
alt,Aluterus spp,Leatherjacket filefishes,,
alu,Albulidae,Bonefishes nei,Macabíes nep,Albulidés
alv,Alopias vulpinus,Thresher,Zorro,Renard
alw,Leptenchelys vermiformis,Slender worm-eel,Tieso esbelto,Serpenton mince
alx,Alepisaurus ferox,Long snouted lancetfish,Lanzón picudo,Lancier longnez
aly,Letharchus velifer,,,
alz,Diomedeidae,Albatrosses nei,Albatros nep,Albatros
ama,Anarchias fuscus,,,
amb,Seriola dumerili,Greater amberjack,Pez de limón,Sériole couronnée
amc,Myroconger compressus,Red eel,,
amd,Echidna catenata,Chain moray,,
ame,Echidna nebulosa,Snowflake moray,,
amf,Cirrimaxilla formosa,,,
amg,Gymnothorax flavimarginatus,Yellow-edged moray,,
amh,Channomuraena vittata,Broadbanded moray,,
ami,Gymnothorax funebris,Green moray,,
amj,Seriola quinqueradiata,Japanese amberjack,Medregal del Japón,Sériole du Japon
amk,Enchelycore bayeri,Bayer's moray,,
aml,Carcharhinus amblyrhynchos,Grey reef shark,Tiburón de arrecifes,Requin dagsit
amm,Moringua edwardsi,Spaghetti eel,,
amn,Neoconger tuberculatus,,,
amo,Gymnomuraena zebra,Zebra moray,,
amp,Echidna peli,Pebbletooth moray,,
amq,Enchelynassa canina,,,
amr,Enchelycore pardalis,Leopard moray eel,,
ams,Artemia salina,Brine shrimp,Artemia,Crevette de salines
amt,Gymnothorax vicinus,Purplemouth moray,,
amu,Esox reichertii,Amur pike,Lucio del Pacífico,Brochet du Pacifique
amv,Gymnothorax dovii,Speckled moray,,
amw,Gymnothorax ocellatus,,,
amx,Seriola spp,Amberjacks nei,Medregales nep,Sérioles
amy,Echidna polyzona,Barred moray,,
amz,Gymnothorax undulatus,Undulated moray,,
ana,Engraulis anchoita,Argentine anchovy,Anchoíta,Anchois d'Argentine
anb,Anchoa mitchilli,Bay anchovy,Anchoa de caleta,Anchois baie
anc,Engraulis capensis,Southern African anchovy,Anchoa de Africa austral,Anchois de l'Afrique australe
and,Tylosurus acus,Agujon needlefish,Marao ojón(=Aguja imperial),Aiguille voyeuse
ane,Engraulis encrasicolus,European anchovy,Boquerón,Anchois
anf,Lophiidae,Anglerfishes nei,"Rapes, etc. nep","Baudroies, etc."
ang,Lophius americanus,American angler,Rape americano,Baudroie d'Amérique
ani,Champsocephalus gunnari,Mackerel icefish,Draco rayado,Poisson des glaces antarctique
anj,Aristeus antillensis,Purplehead gamba prawn,Gamba purpurea,Crevette pourprée
ank,Lophius budegassa,Blackbellied angler,Rape negro,Baudroie rousse
anl,Labichthys carinatus,,,
anm,Nemichthys scolopaceus,Slender snipe eel,,
ann,Diplodus annularis,Annular seabream,Raspallón,Sparaillon commun
ano,Annamia normani,,,
anp,Anotopterus pharao,Daggertooth,,Pharaon
anq,Atherinomorus balabacensis,Balabac Island silverside,,
anr,Lycengraulis grossidens,Atlantic sabretooth anchovy,Anchoa dentona,Anchois goulard
ans,Pleuragramma antarcticum,Antarctic silverfish,Diablillo antártico,Calandre antarctique
ant,Antimora rostrata,Blue antimora,Mollera azul,Antimora bleu
anu,Nemichthys curvirostris,,,
anv,Avocettina infans,Avocet snipe eel,,
anw,Pomacanthidae,Angelfishes nei,Angeles nep,Demoiselles
anx,Engraulidae,"Anchovies, etc. nei","Anchoas, etc. nep","Anchois, etc."
any,Anabarilius polylepis,,,
anz,Aulotrachichthys novaezelandicus,,,
aoa,Achirophichthys kampeni,Freshwater snake-eel,,
aob,Bascanichthys bascanoides,Sooty sand-eel,,
aoc,Aplatophis chauliodus,Fangtooth snake-eel,,
aod,Dalophis obtusirostris,,,
aoe,Ahlia egmontis,Key worm eel,,
aof,Herpetoichthys fossatus,Mustachioed snake-eel,,
aog,Gordiichthys irretitus,Horsehair eel,,
aoh,Hemerorhinus opici,,,
aoi,Cirrhimuraena inhacae,Inhaca fringelip,,
aoj,Cirricaecula johnsoni,,,
aok,Apterichtus kendalli,,,
aol,Caralophia loxochila,Slantlip eel,,
aom,Echelus myrus,Painted eel,,
aon,Atherinops affinis,Topsmelt silverside,,
aoo,Callechelys catostomus,,,
aop,Aprognathodon platyventris,Stripe eel,,
aoq,Lamnostoma polyophthalma,,,
aor,Ethadophis byrnei,Ordinary eel,,
aos,Evips percinctus,,,
aot,Caecula pterygera,Finny snake eel,,
aou,Echiophis punctifer,Stippled spoon-nose eel,,
aov,Elapsopis versicolor,,,
aow,Aeoliscus punctulatus,Speckled shrimpfish,,
aox,Ichthyapus acuticeps,Sharpnose sand-eel,,
aoy,Brachysomophis crocodilinus,Crocodile snake eel,,
aoz,Leiuranus semicinctus,Saddled snake-eel,,
apa,Apristurus manis,Ghost catshark,Pejegato fantasma,Holbiche fantôme
apb,Acipenser baerii,Siberian sturgeon,Esturión de Siberia,Esturgeon de Sibérie
apc,Apristurus saldanha,Saldanha catshark,Pejegato saldaña,Holbiche gatussau
apd,Apristurus indicus,Smallbelly catshark,Pejegato índico,Holbiche artouca
ape,Acipenser stellatus,Starry sturgeon,Esturión estrellado,Esturgeon étoilé
apf,Apristurus maderensis,Madeira catshark,Pejegato de Madera,Roussette de Madère
apg,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),Esturión del Danube,Esturgeon du Danube
aph,Aphanopus intermedius,Intermediate scabbardfish,Sable intermedio,Poisson-sabre tachuo
api,Apristurus spp,Deep-water catsharks,Pejegatos,Holbiches
apj,Apristurus sibogae,Pale catshark,Pejegato paliducho,Holbiche pâle
apk,Apristurus parvipinnis,Smallfin catshark,Pejegato mocho,Holbiche petites ailes
apl,Plantae aquaticae,Aquatic plants nei,Plantas acuáticas nep,Plantes aquatiques
apm,Apristurus macrostomus,,,
apn,Acipenser transmontanus,White sturgeon,Esturión blanco,Esturgeon blanc
apo,Apogonidae,"Cardinalfishes, etc. nei","Peces cardenal, etc. nep",Apogonidés
app,Apristurus profundorum,Deep-water catshark,Pejegato abisal,Holbiche papoila
apq,Apristurus laurussonii,Iceland catshark,,
apr,Acipenser ruthenus,Sterlet sturgeon,Esterlete,Sterlet
aps,Penaeus duorarum,Northern pink shrimp,Camarón rosado norteño,Crevette rose du Nord
apu,Acipenser sturio,Sturgeon,Esturión,Esturgeon commun
apv,Apristurus investigatoris,Broadnose catshark,Pejegato ñato,Holbiche platnez
apw,Apristurus nasutus,Largenose catshark,Pejegato hocicón,Holbiche cyrano
apx,Apristurus microps,Smalleye catshark,Pejegato puerco,Holbiche porc
apy,Apristurus micropterygeus,,,
apz,Apristurus platyrhynchus,Spatulasnout catshark,Pejegato espatulado,Holbiche spatule
aqa,Acentronura australe,Southern little pipehorse,,
aqb,Acanthurus bahianus,Ocean surgeon,,
aqc,Asquamiceps caeruleus,,,
aqd,Apeltes quadracus,Fourspine stickleback,,
aqe,Aequorea aequorea,,,
aqf,Mactra californica,Californian mactra,Mactra californiana,Mactre californienne
aqg,Mactra largillierti,Largilliert's mactra,Mactra de Largilliert,Mactre de Largilliert
aqh,Acanthurus chirurgus,Doctorfish,,
aqi,Acanthurus lineatus,Lined surgeonfish,,
aqj,Mactra nitida,Polished mactra,Mactra pulida,Mactre polie
aqk,Caquetaia kraussii,,,
aql,Adelosebastes latens,,,
aqm,Amphipoda,Amphipods,,
aqn,Acanthurus nigrofuscus,Brown surgeonfish,,
aqo,Acanthurus coeruleus,Blue tang surgeonfish,,
aqp,Aequidens portalegrensis,,,
aqq,Acanthurus gahhm,Black surgeonfish,,
aqr,Acanthurus bariene,Black-spot surgeonfish,,
aqs,Mactra rostrata,Rostrate mactra,Mactra puntiaguda,Mactre à rostre
aqt,Acanthurus triostegus,Convict surgeonfish,,
aqu,Aequidens pulchrus,Blue acara,,
aqv,Acanthurus olivaceus,Orangespot surgeonfish,,
aqw,Mactra velata,Concealed surf clam,Mactra velada,Mactre voile
aqx,Aetobatus spp,,,
aqy,Asprocottus abyssalis,,,
aqz,Antipatharia,Black corals and thorny corals,,
ara,Aristeus antennatus,Blue and red shrimp,Gamba rosada,Crevette rouge
arb,Ariosoma balearicum,Bandtooth conger,,
arc,Acrocheilus alutaceus,Chiselmouth,,
ard,Arcos decoris,Elegant clingfish,,
are,Argentina elongata,,,
arf,Atheresthes stomias,Arrow-tooth flounder,Halibut del Pacífico,Faux flétan du Pacifique
arg,Argentina spp,Argentines,Argentinas,Argentines
arh,Acrossocheilus hexagonolepis,Copper mahseer,,
ari,Aristeidae,Aristeid shrimps nei,Gambas aristeidos nep,"Gambons,crevet. aristeidés"
arj,Ascelichthys rhodorus,Rosylip sculpin,,
ark,Arca spp,Ark clams nei,Arcas nep,Arches
arl,Argonectes longiceps,,,
arm,Arenicola marina,Lugworm,Capbreton,
arn,Ariosoma anago,Silvery conger,,
aro,Argentina kagoshimae,,,
arp,Arapaima gigas,Arapaima,Paiche,
arq,Aphareus rutilans,Rusty jobfish,Pargo bermellón,Vivaneau rouillé
arr,Aspidoparia morar,,,
ars,Aristaeomorpha foliacea,Giant red shrimp,Gamba española,Gambon rouge
art,Artedidraco spp,,,
aru,Argentina silus,Greater argentine,,Grande argentine
arv,Aristeus varidens,Striped red shrimp,Gamba listada,Gambon rayé
arw,Austrolethops wardi,Small-eyed goby,,
arx,Archolaemus blax,,,
ary,Argentina sphyraena,Argentine,Pez plata,Petite argentine
arz,Apistogramma agassizii,,,
asa,Arripis trutta,Australian salmon,Salmón de Australia,Saumon australien
asb,Serrivomer beani,Bean's sawtooth eel,,
asd,Alosa alosa,Allis shad,Sábalo común,Alose vraie(=Grande alose)
ase,Apristurus stenseni,Panama ghost catshark,Pejegato panameño,Holbiche nébuleuse
asf,Stemonidium hypomelas,Black serrivomerid eel,,
asg,Arius sagor,Sagor catfish,,
ash,Artemesia longinaris,Argentine stiletto shrimp,Camarón estilete argentino,Crevette stylet d'Argentine
asi,Apristurus sinensis,South China catshark,Pejegato chino,Holbiche chuhu
asj,Aspidoparia jaya,,,
ask,Squatinidae,"Angelsharks, sand devils nei","Angelotes, peces ángel nep",Anges de mer
asl,Neophoca cinerea,Australian sea lion,Lobo marino de Australia,Lion de mer d'Australie
asm,Scomberomorus munroi,Australian spotted mackerel,Carite australiano,Thazard australien
asn,Ascophyllum nodosum,North Atlantic rockweed,,
aso,Apristurus spongiceps,Spongehead catshark,Pejegato esponjoso,Holbiche tête molle
asp,Caspialosa spp,Caspian shads,Sábalos del Mar Caspio,Aloses de la mer Caspienne
asq,Simenchelys parasiticus,Snubnosed eel,,
asr,Asparagopsis spp,Harpoon seaweeds,Algas espárrago,Algues harpon
ast,Astronotus spp,Velvety cichlids,Acarahuazu,
asu,Aspius aspius,Asp,Aspio,Aspe
asv,Asymbolus vincenti,Gulf catshark,Pejegato de Tasmania,Chien tasmanien
asw,Apristurus verweyi,Borneo catshark,Pejegato de Borneo,Holbiche malaise
asx,Apsilus dentatus,Black snapper,Pargo mulato,Vivaneau noir
asy,Asymbolus analis,Australian spotted catshark,Pejegato de lunares,Chien tacheté
asz,Assurger anzac,Razorback scabbardfish,Sable aserrado,Poisson-sabre rasoir
ata,Acapoeta tanganicae,,,
atb,Atherina boyeri,Big-scale sand smelt,Pejerrey mediterráneo,Joël
atc,Catostomus catostomus,Longnose sucker,,
atd,Anodontiglanis dahli,,,
ate,Catostomus tahoensis,Tahoe sucker,,
atf,Astrodoras asterifrons,,,
atg,Arctogadus glacialis,Artic cod,,
ati,Ateleopus indicus,,,
atj,Chasmistes cujus,Cui-ui,,
atk,Pleurogrammus azonus,Okhotsk atka mackerel,Lorcha de Okhotsk,Terpuga arabesque de Okhotsk
atl,Acheilognathus limbatus,Oily bitterling,,
atm,Atelomycterus macleayi,Australian marbled catshark,Pejegato jaspeado,Chien marbré
atn,Acheilognathus melanogaster,,,
ato,Catostomus commersoni,White sucker,,
atp,Atherina presbyter,Sand smelt,,
atq,Atherina breviceps,Cape silverside,,
atr,Acheilognathus rhombeus,,,
ats,Catostomus latipinnis,Flannelmouth sucker,,
att,Acheilognathus tabira,,,
atu,Catostomus macrocheilus,Largescale sucker,,
atv,Arctogadus borisovi,East Siberian cod,,
atw,Atopocottus tribranchius,,,
atx,Actiniaria,Sea anemones,Anémonas de mar,Actinies
aty,Atelomycterus marmoratus,Coral catshark,Pintarroja coralera,Chien corail
atz,Allodontichthys tamazulae,Tuxpan splitfin,,
aua,Arius leptaspis,Salmon catfish,,
aub,Auchenoglanis biscutatus,,,
auc,Arius caelatus,Engraved catfish,,
aud,Arius dussumieri,Blacktip sea catfish,,
aue,Aspiolucius esocinus,Pike asp,,
auf,Arius felis,Hardhead sea catfish,,
aug,Arius gigas,Giant sea catfish,Bagre gigante,Mâchoiron géant
auh,Aulopyge huegelii,Dalmatian barbelgudgeon,,
aui,Arius arius,Threadfin sea catfish,,
auj,Arius jella,Blackfin sea catfish,,
auk,Aulohalaelurus kanakorum,Kanakorum catshark,,
aul,Aulohalaelurus labiosus,Australian Blackspot catshark,Pejegato estrellado,Chien à taches noires
aum,Aphyocharacidium melandetum,,,
aun,Arius nasutus,Giant seacatfish,,
auo,Auchenoglanis occidentalis,Bubu,,
aup,Austropotamobius pallipes,White-clawed crayfish,Cangrejo a pinzas blancas,Écrevisse à pattes blanches
auq,Arius manillensis,,,
aur,Arius latiscutatus,Rough-head sea catfish,,
aus,Austroglanis sclateri,,,
aut,Arius bilineatus,Bronze catfish,,
auu,Abudefduf luridus,Canary damsel,,
auv,Arius venosus,Veined catfish,,
auw,Arius sona,Sona sea catfish,,
aux,Arius thalassinus,Giant catfish,Bagre titán,Mâchoiron titan
auy,Arius platystomus,Flatmouth sea catfish,,
auz,Agmus scabriceps,Bark catfish,,
ava,Cetengraulis edentulus,Atlantic anchoveta,Anchoveta rabo amarillo,Anchois queue jaune
avb,Archosargus rhomboidalis,Western Atlantic seabream,Sargo amarillo,Rondeau brème
avc,Astropecten irregularis,,,
avd,Aristeus virilis,Stout red shrimp,Gambon colorado,Gambon gaillard
ave,Adventor elongatus,,,
avf,Afromastacembelus flavidus,,,
avg,Anseropoda placenta,,,
avh,Aluterus heudelotii,Dotterel filefish,Lija jaspeada,
avi,Acesta maui,Giant file shell,,
